,name,rating,reviews,type,hq,old,employees
288,Taj Hotels Resorts and Palaces,4.2,2k,121 years old,,Mumbai +93 more,10k-50k Employees
289,State Street Corporation,3.8,2k,Forbes Global 2000,Boston +19 more,232 years old,10k-50k Employees
290,Nokia,4.2,2k,Forbes Global 2000,Espoo +151 more,159 years old,10k-50k Employees
291,Lava International,4.1,2k,Public,Noida +208 more,15 years old,1k-5k Employees
292,HDFC Sales,4.0,2k,20 years old,,Mumbai +276 more,10k-50k Employees
293,I Process Services,3.8,2k,19 years old,,Mumbai +284 more,1k-5k Employees
294,Walmart,4.0,2k,Forbes Global 2000,Bangalore/Bengaluru +76 more,15 years old,5k-10k Employees
295,Landmark Group,4.0,2k,Conglomerate,Dubai Marina +137 more,51 years old,1k-5k Employees
296,Nestle,4.1,2k,Public,Vevey +225 more,65 years old,5k-10k Employees
297,Blue Dart Express,4.1,2k,Public,Mumbai +233 more,41 years old,10k-50k Employees
298,Croma,4.1,2k,18 years old,,Mumbai +134 more,5k-10k Employees
299,Capgemini Engineering,3.6,2k,,,,Gurgaon/Gurugram +20 more
300,State Street Syntel,3.7,2k,20 years old,,Mumbai +19 more,501-1k Employees
301,Tractors and Farm Equipment,4.1,2k,Public,Chennai +161 more,64 years old,10k-50k Employees
302,Patanjali Ayurved,4.0,2k,Fortune India 500,Haridwar +255 more,18 years old,1k-5k Employees
303,Grasim Industries,4.0,2k,Public,Nagda +98 more,77 years old,10k-50k Employees
304,Fortis Healthcare,4.0,2k,Public,Gurgaon/Gurugram +59 more,28 years old,1k-5k Employees
305,G4S,4.0,2k,28 years old,,Gurgaon/Gurugram +131 more,1 Lakh+ Employees
306,BlackBuck,3.8,2k,Indian Unicorn,Bangalore +310 more,9 years old,1k-5k Employees
307,Societe Generale,3.9,2k,24 years old,,Bangalore/Bengaluru +15 more,1k-5k Employees
308,UNO Minda,4.0,1.9k,Fortune India 500,Gurgaon +83 more,66 years old,201-500 Employees
309,Fiserv,3.6,1.9k,Forbes Global 2000,Brookfield +28 more,40 years old,5k-10k Employees
310,Britannia,4.1,1.9k,Public,Reading +227 more,132 years old,1k-5k Employees
311,KFintech,3.6,1.9k,Startup,Hyderabad +100 more,7 years old,5k-10k Employees
312,TVS Supply Chain Solutions,3.9,1.9k,128 years old,,Chennai +127 more,1k-5k Employees
313,Micro Labs,3.6,1.9k,51 years old,,Bangalore/Bengaluru +119 more,10k-50k Employees
314,Voltas,4.0,1.9k,Public,Mumbai +168 more,70 years old,1k-5k Employees
315,Ola Cabs,3.5,1.9k,Indian Unicorn,Bangalore +95 more,14 years old,1k-5k Employees
316,Lifestyle,4.4,1.9k,Fortune India 500,Bangalore/Bengaluru +108 more,25 years old,10k-50k Employees
317,Exide Industries,3.5,1.9k,Public,Kolkata +184 more,77 years old,5k-10k Employees
318,Sterlite Technologies,3.8,1.9k,Public,Pune +74 more,36 years old,1k-5k Employees
319,Radisson Hotels,4.0,1.8k,115 years old,,Minnetonka +102 more,5k-10k Employees
320,Himalaya Wellness,4.1,1.8k,94 years old,,San Francisco +190 more,5k-10k Employees
321,Shree Cement,4.0,1.8k,Public,Kolkata +188 more,45 years old,5k-10k Employees
322,Kyndryl,4.1,1.8k,3 years old,,New York +24 more,10k-50k Employees
323,Extramarks Education,3.5,1.8k,17 years old,,Noida +103 more,1k-5k Employees
324,Yazaki,3.8,1.8k,Tokyo +65 more,,,83 years old
325,Quest Global,3.6,1.8k,27 years old,,Singapore +32 more,10k-50k Employees
326,Ajanta Pharma,4.1,1.8k,Public,Mumbai +96 more,51 years old,5k-10k Employees
327,ACT Fibernet,4.0,1.8k,16 years old,,Bengaluru/Bangalore +40 more,5k-10k Employees
328,Eureka Forbes,3.8,1.8k,42 years old,,Mumbai +158 more,1k-5k Employees
329,Aditya Birla Group,4.2,1.8k,Conglomerate,Mumbai +218 more,167 years old,1 Lakh+ Employees
330,Dalmia Bharat Cement,4.0,1.8k,Public,Delhi/NCR +193 more,89 years old,5k-10k Employees
331,IKS Health,3.6,1.8k,17 years old,,Mumbai +17 more,5k-10k Employees
332,Blue Star,4.1,1.8k,Public,Mumbai +126 more,81 years old,1k-5k Employees
333,Future Retail,4.3,1.8k,Public,San Francisco +197 more,37 years old,10k-50k Employees
334,Life Insurance Corporation of India,4.3,1.8k,Fortune India 500,Mumbai +404 more,68 years old,1 Lakh+ Employees
335,Cholamandalam MS General Insurance,3.9,1.8k,23 years old,,Chennai +325 more,1k-5k Employees
336,XpressBees,3.8,1.8k,Indian Unicorn,Pune +228 more,9 years old,5k-10k Employees
337,Rivigo,3.9,1.8k,Indian Unicorn,Gurgaon +150 more,10 years old,1k-5k Employees
338,JMC Projects,4.2,1.8k,Public,Mumbai +117 more,42 years old,1k-5k Employees
339,Mahindra Rural Housing Finance,4.1,1.8k,Public,Mumbai +401 more,17 years old,10k-50k Employees
340,Sonalika Tractors,3.7,1.8k,55 years old,,Hoshiarpur +146 more,1k-5k Employees
341,Delhi Public School,3.9,1.8k,Public,Greater Noida +231 more,26 years old,1k-5k Employees
342,Nokia Networks,4.3,1.8k,Chennai +83 more,,,501-1k Employees
343,DS Group,4.0,1.7k,Conglomerate,Noida +189 more,95 years old,1k-5k Employees
344,Zomato,3.7,1.7k,Public,Gurgaon +168 more,16 years old,1k-5k Employees
345,Ninjacart,4.1,1.7k,Startup,Bangalore +90 more,9 years old,1k-5k Employees
346,Motilal Oswal Financial Services,3.8,1.7k,Public,Mumbai +121 more,37 years old,5k-10k Employees
347,Mahindra Logistics,4.1,1.7k,Public,Mumbai +120 more,24 years old,1k-5k Employees
348,Wipro BPS,3.8,1.7k,24 years old,,Bengaluru +33 more,1 Lakh+ Employees
349,PVR Cinemas,4.1,1.7k,Public,Gurgaon +101 more,27 years old,1k-5k Employees
350,Indus Towers,4.0,1.7k,Fortune India 500,Gurgaon +152 more,17 years old,1k-5k Employees
351,Pfizer,4.1,1.7k,Public,Chennai +111 more,20 years old,1k-5k Employees
352,Emcure Pharmaceuticals,3.7,1.7k,Fortune India 500,Pune +93 more,43 years old,5k-10k Employees
353,Parle Agro,4.1,1.7k,40 years old,,Mumbai +188 more,1k-5k Employees
354,SRF,4.2,1.7k,Public,Gurgaon/Gurugram +44 more,54 years old,5k-10k Employees
355,Tata Teleservices,4.0,1.7k,Public,Mumbai +147 more,28 years old,201-500 Employees
356,Datamatics Global Services,3.5,1.7k,Public,Mumbai +26 more,49 years old,5k-10k Employees
357,Kalpataru Power Transmission,4.1,1.7k,Public,Mumbai +208 more,43 years old,1k-5k Employees
358,V-Mart,4.2,1.7k,Public,Gurgaon/Gurugram +238 more,22 years old,5k-10k Employees
359,Renault-Nissan,4.1,1.7k,17 years old,,Chennai +78 more,10k-50k Employees
360,Myntra,4.0,1.7k,17 years old,,Bangalore +95 more,1k-5k Employees
361,Movate,3.5,1.7k,28 years old,,Plano +27 more,1k-5k Employees
362,Kansai Nerolac Paints,3.8,1.7k,Public,Mumbai +172 more,104 years old,1k-5k Employees
363,Mahindra Holidays & Resorts,3.6,1.7k,28 years old,,Mumbai +94 more,5k-10k Employees
364,Indian Railways,4.1,1.7k,Central,Delhi/NCR +209 more,171 years old,1 Lakh+ Employees
365,Reliance Trends,4.3,1.6k,Conglomerate,Navi Mumbai +332 more,18 years old,1 Lakh+ Employees
366,Raymond,4.1,1.6k,Public,New York +125 more,99 years old,5k-10k Employees
367,BHEL,4.1,1.6k,Fortune India 500,Bangalore/Bengaluru +98 more,60 years old,10k-50k Employees
368,MSN Laboratories,3.8,1.6k,21 years old,,Hyderabad/Secunderabad +69 more,10k-50k Employees
369,Fujitsu,3.9,1.6k,Forbes Global 2000,Bangalore/Bengaluru +25 more,89 years old,5k-10k Employees
370,ICICI Securities,3.7,1.6k,Public,Mumbai +121 more,29 years old,1k-5k Employees
371,Cybage,3.9,1.6k,29 years old,,Pune +9 more,5k-10k Employees
372,KPMG Global Services,3.8,1.6k,,,,
373,Ambuja Cements,3.9,1.6k,Public,Mumbai +190 more,41 years old,5k-10k Employees
374,Info Edge,4.1,1.6k,Public,Noida +54 more,29 years old,5k-10k Employees
375,Blinkit,3.8,1.6k,Indian Unicorn,Gurgaon +59 more,11 years old,1k-5k Employees
376,3i Infotech,3.6,1.6k,Public,Mumbai +106 more,31 years old,1k-5k Employees
377,Cadila Pharmaceuticals,3.4,1.6k,Public,Ahmedabad +111 more,73 years old,5k-10k Employees
378,GlaxoSmithKline Pharmaceuticals,4.2,1.6k,Fortune India 500,Brentford +178 more,194 years old,1k-5k Employees
379,Poonawalla Fincorp,3.8,1.6k,Public,Mumbai +249 more,36 years old,1k-5k Employees
380,JCB,3.9,1.6k,79 years old,,Pune +86 more,1k-5k Employees
381,VVDN Technologies,3.6,1.6k,17 years old,,Manesar +30 more,5k-10k Employees
382,Shell,4.3,1.6k,Public,Chennai +76 more,20 years old,10k-50k Employees
383,ZS,3.5,1.6k,41 years old,,Pune +9 more,5k-10k Employees
384,Force Motors,3.5,1.6k,Public,Pune +86 more,66 years old,1k-5k Employees
385,Whirlpool,4.1,1.6k,Public,Pune +134 more,113 years old,1k-5k Employees
386,Shriram City,4.1,1.6k,Public,Chennai +426 more,38 years old,50k-1 Lakh Employees
387,Tata Elxsi,4.0,1.6k,Public,Bengaluru/Bangalore +21 more,35 years old,10k-50k Employees
388,Kalyan Jewellers,4.7,1.6k,Fortune India 500,Bengaluru/Bangalore +130 more,31 years old,5k-10k Employees
389,HCL Infosystems,4.0,1.6k,Public,Noida +107 more,48 years old,51-200 Employees
390,Endurance Technologies,3.8,1.6k,Public,Aurangabad +38 more,39 years old,1k-5k Employees
391,Jindal Stainless,4.2,1.6k,Public,Jajpur +53 more,54 years old,1k-5k Employees
392,suzuki motor gujarat,4.3,1.6k,,,,Becharaji +79 more
393,Bharat Petroleum,4.1,1.6k,Fortune India 500,Mumbai +212 more,72 years old,5k-10k Employees
394,GVK Emergency Management and Research Institute,3.7,1.6k,19 years old,,Lucknow +146 more,10k-50k Employees
395,Foundever,3.9,1.6k,Conglomerate,Hyderabad/Secunderabad +15 more,39 years old,5k-10k Employees
396,Syngene International,3.9,1.6k,Public,Bengaluru/Bangalore +14 more,31 years old,1k-5k Employees
397,Shahi Exports,4.0,1.6k,50 years old,,Bengaluru/Bangalore +59 more,1 Lakh+ Employees
398,Dhani Loans and Services,3.8,1.6k,Gurgaon/Gurugram +176 more,,,1k-5k Employees
399,NoBroker,3.2,1.6k,Indian Unicorn,Bengaluru/Bangalore +36 more,10 years old,1k-5k Employees
400,Bharti AXA Life Insurance,3.9,1.5k,18 years old,,Mumbai +217 more,1k-5k Employees
401,Delphi TVS,4.0,1.5k,35 years old,,Kanchipuram +31 more,1k-5k Employees
402,Sterling & Wilson,4.1,1.5k,97 years old,,Mumbai +95 more,501-1k Employees
403,Fincare Small Finance Bank,4.0,1.5k,17 years old,,Bangalore +346 more,10k-50k Employees
404,Sobha,4.0,1.5k,Public,Bangalore/Bengaluru +35 more,29 years old,1k-5k Employees
405,Lodha group,4.1,1.5k,Fortune India 500,Mumbai +23 more,44 years old,5k-10k Employees
406,Kent RO Systems,4.2,1.5k,25 years old,,Noida +135 more,1k-5k Employees
407,PhonePe,4.1,1.5k,Indian Unicorn,Bangalore +214 more,9 years old,5k-10k Employees
408,Brakes India,4.0,1.5k,Fortune India 500,Chennai +73 more,62 years old,501-1k Employees
409,Care Health Insurance,3.8,1.5k,Public,Gurgaon +192 more,12 years old,5k-10k Employees
410,ITC Hotels,4.1,1.5k,Public,Kolkata +73 more,49 years old,5k-10k Employees
411,Aavas Financiers,4.0,1.5k,Public,Jaipur +229 more,13 years old,5k-10k Employees
412,CAMS,3.7,1.5k,36 years old,,Chennai +95 more,5k-10k Employees
413,Bureau Veritas,3.9,1.5k,Forbes Global 2000,Paris La Défense +105 more,196 years old,1k-5k Employees
414,Varroc Group,3.8,1.5k,Public,Aurangabad +35 more,36 years old,1k-5k Employees
415,Gallagher,3.9,1.5k,Forbes Global 2000,Rolling Meadows +15 more,97 years old,10k-50k Employees
416,Citicorp,3.8,1.5k,27 years old,,Mumbai +23 more,1k-5k Employees
417,Unacademy,3.4,1.5k,Indian Unicorn,Bangalore +53 more,9 years old,1k-5k Employees
418,Future Generali India Life Insurance,3.8,1.5k,17 years old,,Mumbai +166 more,1k-5k Employees
419,Allsec Technologies,4.1,1.5k,Public,Chennai +24 more,24 years old,1k-5k Employees
420,Canara HSBC Life Insurance,3.8,1.5k,16 years old,,Gurgaon/Gurugram +243 more,5k-10k Employees
421,Coromandel International,4.1,1.5k,Public,Hyderabad/Secunderabad +143 more,63 years old,5k-10k Employees
422,Cisco,4.4,1.5k,Public,San Jose +33 more,40 years old,10k-50k Employees
423,Sopra Steria,4.0,1.5k,Conglomerate,Paris +14 more,56 years old,5k-10k Employees
424,café Coffee day,3.9,1.5k,28 years old,,Bengaluru +91 more,1k-5k Employees
425,Gabriel India,4.2,1.5k,Public,Pune +40 more,63 years old,1k-5k Employees
426,JK Tyres,3.7,1.5k,Fortune India 500,New Delhi +128 more,73 years old,1k-5k Employees
427,Tata Motors Finance,4.1,1.5k,Conglomerate,Mumbai +218 more,67 years old,1k-5k Employees
428,RMSI,3.8,1.5k,32 years old,,Noida +12 more,1k-5k Employees
429,Power Mech Projects,3.8,1.5k,Public,Hyderabad/Secunderabad +117 more,17 years old,1k-5k Employees
430,Star Health & Allied Insurance,3.8,1.5k,Fortune India 500,Chennai +243 more,18 years old,10k-50k Employees
431,Adani Wilmar,4.2,1.5k,Public,Ahmedabad +147 more,25 years old,1k-5k Employees
432,IntouchCX,3.0,1.5k,23 years old,,Winnipeg +16 more,5k-10k Employees
433,Lucas-TVS,4.0,1.4k,63 years old,,Chennai +58 more,5k-10k Employees
434,KIA MOTORS,3.8,1.4k,Forbes Global 2000,Seoul +130 more,80 years old,1k-5k Employees
435,Sify Technologies,3.9,1.4k,29 years old,,Chennai +104 more,1k-5k Employees
436,UpGrad,4.0,1.4k,Indian Unicorn,San Francisco +37 more,9 years old,5k-10k Employees
437,Bank of Baroda,3.5,1.4k,Fortune India 500,Vadodara/Baroda +231 more,116 years old,50k-1 Lakh Employees
438,Taurus BPO Services,4.6,1.4k,Pune +15 more,,,9 years old
439,ValueLabs,3.8,1.4k,27 years old,,Hyderabad/Secunderabad +15 more,5k-10k Employees
440,ABC,3.9,1.4k,Public,New York +101 more,81 years old,1k-5k Employees (Global)
441,Indian Navy,4.5,1.4k,Central,Delhi/NCR +58 more,74 years old,50k-1 Lakh Employees
442,DBS Bank,3.9,1.4k,9 years old,,Hyderabad/Secunderabad +133 more,5k-10k Employees
443,Thomson Reuters,4.1,1.4k,Forbes Global 2000,Toronto +24 more,16 years old,5k-10k Employees
444,Laurus Labs,4.2,1.4k,Public,Hyderabad/Secunderabad +14 more,19 years old,5k-10k Employees
445,Straive,3.5,1.4k,44 years old,,Singapore +19 more,10k-50k Employees
446,L.G.Balakrishnan & Bros,3.7,1.4k,Public,Coimbatore +142 more,87 years old,1k-5k Employees
447,Planet Spark,3.8,1.4k,Startup,Gurgaon +39 more,7 years old,51-200 Employees
448,Hero FinCorp,4.1,1.4k,33 years old,,Delhi +309 more,1k-5k Employees
449,Parle Products,3.9,1.4k,95 years old,,Mumbai +188 more,1k-5k Employees
450,Hindustan Aeronautics,4.3,1.4k,Fortune India 500,Bangalore/Bengaluru +45 more,84 years old,10k-50k Employees
451,Google,4.4,1.4k,26 years old,,Mountain View +80 more,10k-50k Employees
452,SAP,4.3,1.4k,Forbes Global 2000,Walldorf +41 more,52 years old,10k-50k Employees
453,Uflex,3.8,1.4k,Public,Noida +42 more,39 years old,5k-10k Employees
454,AECOM,4.2,1.4k,34 years old,,Dallas +105 more,1k-5k Employees
455,Renault Nissan Technology & Business Centre India,3.9,1.4k,17 years old,,Chennai +13 more,5k-10k Employees
456,Cargill,4.1,1.4k,Conglomerate,Wayzata +88 more,159 years old,1k-5k Employees
457,SGS,4.0,1.4k,146 years old,,Geneva +108 more,Forbes Global 2000
458,TVS Sundram Fasteners,3.7,1.4k,Public,Chennai +41 more,62 years old,1k-5k Employees
459,Honda,4.2,1.4k,Forbes Global 2000,Greater Noida +194 more,39 years old,10k-50k Employees
460,Citibank,4.0,1.4k,Fortune India 500,New York +46 more,212 years old,1-10 Employees
461,Adani Power,3.9,1.4k,Public,Ahmedabad +77 more,18 years old,1k-5k Employees
462,IDBI Bank,3.8,1.4k,Public,Mumbai +279 more,60 years old,10k-50k Employees
463,ESAF Microfinance & Investments (P),3.9,1.4k,8 years old,,Thrissur/Trichur +274 more,1k-5k Employees
464,Novartis,4.1,1.4k,28 years old,,Switzerland +62 more,1k-5k Employees
465,Dr Lal PathLabs,4.2,1.4k,Public,Gurgaon/Gurugram +148 more,75 years old,1k-5k Employees
466,Big Bazaar,4.2,1.4k,Conglomerate,Mumbai +156 more,23 years old,10k-50k Employees
467,CMA CGM,4.1,1.4k,46 years old,,Marseille +30 more,501-1k Employees
468,Akums Drugs & Pharmaceuticals,4.0,1.4k,20 years old,,Delhi/NCR +28 more,10k-50k Employees
469,Reliance General Insurance,3.8,1.4k,24 years old,,Mumbai +166 more,5k-10k Employees
470,Intellect Design Arena,4.0,1.4k,Public,Chennai +25 more,13 years old,5k-10k Employees
471,BA Continuum,4.3,1.4k,21 years old,,Gurgaon/Gurugram +15 more,1k-5k Employees
472,Wockhardt,3.8,1.4k,Public,Mumbai +77 more,25 years old,5k-10k Employees
473,AXA Business Services,3.8,1.4k,78 years old,,Paris +8 more,501-1k Employees
474,Kotak Securities,3.7,1.4k,Conglomerate,Mumbai +116 more,30 years old,5k-10k Employees
475,Vedantu,3.3,1.4k,Indian Unicorn,Bangalore +50 more,13 years old,1k-5k Employees
476,Microsoft Corporation,4.2,1.4k,Forbes Global 2000,Sunnyvale +43 more,49 years old,10k-50k Employees
477,Xoriant,3.9,1.4k,34 years old,,Sunnyvale +19 more,1k-5k Employees
478,Narayana Health,4.2,1.4k,Fortune India 500,Bangalore/Bengaluru +55 more,24 years old,10k-50k Employees
479,Philips,3.9,1.4k,Forbes Global 2000,Amsterdam +84 more,94 years old,5k-10k Employees
480,TCE,3.7,1.4k,62 years old,,Mumbai +98 more,5k-10k Employees
481,Meesho,3.7,1.3k,Indian Unicorn,Bengaluru/Bangalore +89 more,9 years old,5k-10k Employees
482,SBI General Insurance,3.8,1.3k,15 years old,,Mumbai +204 more,5k-10k Employees
483,MetLife,4.3,1.3k,Forbes Global 2000,New York +35 more,16 years old,1k-5k Employees
484,G R Infraprojects,4.2,1.3k,Public,Gurgaon/Gurugram +136 more,29 years old,10k-50k Employees
485,Honeywell Automation,3.8,1.3k,Public,Morris Plains +62 more,118 years old,10k-50k Employees
486,Tata Play,4.1,1.3k,Public,Mumbai +187 more,18 years old,5k-10k Employees
487,CMS Infosystems,3.5,1.3k,16 years old,,Mumbai +165 more,5k-10k Employees
488,Aragen Life Sciences,4.1,1.3k,24 years old,,Hyderabad/Secunderabad +18 more,1k-5k Employees
489,Optum Global Solutions,4.1,1.3k,Hyderabad/Secunderabad +12 more,,,10k-50k Employees
490,YASH Technologies,3.8,1.3k,28 years old,,East Moline +19 more,5k-10k Employees
491,Spark Minda,3.8,1.3k,Public,Gurgaon +60 more,66 years old,1k-5k Employees
492,NCR Corporation,4.0,1.3k,Forbes Global 2000,Atlanta +80 more,140 years old,5k-10k Employees
493,Biological E,4.2,1.3k,71 years old,,Hyderabad/Secunderabad +44 more,1k-5k Employees
494,Crisil,3.7,1.3k,Public,Mumbai +53 more,37 years old,1k-5k Employees
495,Bhushan Power & Steel,4.0,1.3k,54 years old,,Delhi/NCR +51 more,5k-10k Employees
496,PHN Technology,4.6,1.3k,,,,
497,Niva Bupa Health Insurance Company,3.7,1.3k,16 years old,,Delhi/NCR +179 more,5k-10k Employees
498,Microland,3.6,1.3k,Public,Bangalore +41 more,35 years old,1k-5k Employees
499,Safexpress,4.1,1.3k,Conglomerate,Delhi/NCR +138 more,27 years old,1k-5k Employees
500,Amazon Transportation Services,4.2,1.3k,12 years old,,Seattle +130 more,1k-5k Employees
501,XL Dynamics,3.2,1.3k,22 years old,,Navi Mumbai +27 more,1k-5k Employees
502,Frankfinn Institute of Air Hostess Training,4.0,1.3k,31 years old,,Gurgaon/Gurugram +57 more,1k-5k Employees
503,Dainik Bhaskar Group Of Publication,4.4,1.3k,Public,Bhopal +127 more,66 years old,5k-10k Employees
504,Yamaha Motor,4.0,1.3k,Fortune India 500,Iwata +131 more,17 years old,1k-5k Employees
505,Innovsource Services,4.0,1.3k,20 years old,,Mumbai +187 more,1k-5k Employees
506,Exl India,3.7,1.3k,67 years old,,New Delhi +25 more,11-50 Employees
507,Apollo Pharmacy,3.9,1.3k,41 years old,,Chennai +192 more,10k-50k Employees
508,Vardhman Fabrics,4.0,1.3k,Fortune India 500,Ludhiana +55 more,59 years old,10k-50k Employees
509,SS&C TECHNOLOGIES,3.6,1.3k,Forbes Global 2000,Windsor Locks +24 more,38 years old,5k-10k Employees
510,Metro,4.1,1.3k,Forbes Global 2000,Bangalore/Bengaluru +70 more,60 years old,1k-5k Employees
511,Reckitt Benckiser,4.0,1.3k,Conglomerate,Slough +112 more,25 years old,1k-5k Employees
512,Angel One,3.9,1.3k,Mumbai +112 more,,,1k-5k Employees
513,R.R. Donnelley,4.0,1.3k,160 years old,,Chicago +11 more,5k-10k Employees
514,Panasonic Life Solutions,4.0,1.3k,61 years old,,Mumbai +108 more,10k-50k Employees
515,HERE Technologies,3.8,1.3k,39 years old,,Eindhoven +13 more,1k-5k Employees
516,Matrimony.com,4.4,1.3k,Public,Chennai +49 more,27 years old,1k-5k Employees
517,Procter & Gamble,4.2,1.3k,Public,Cincinnati +201 more,187 years old,1k-5k Employees
518,CitiusTech,3.5,1.3k,Indian Unicorn,New Jersey +14 more,19 years old,1k-5k Employees
519,USV,4.0,1.3k,Fortune India 500,Mumbai +86 more,63 years old,1k-5k Employees
520,Cavinkare,4.0,1.3k,Conglomerate,Chennai +145 more,41 years old,1k-5k Employees
